,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,08022089020238190040,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
1,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,08008924220238190040,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
2,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,08009285020248190040,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
3,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,08017559520238190040,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
4,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,08009475620248190040,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
5,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,08009310520248190040,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
6,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,PROCESSOS JUDICIAIS,CLARISSE MAIA DA NÓBREGA,08014926320238190040,22/05/2024,22/05/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
7,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,PROCESSOS JUDICIAIS,CLARISSE MAIA DA NÓBREGA,08014224620238190040,14/05/2024,14/05/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
8,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202400023758,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
9,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202400616673,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
10,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202400617565,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
11,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202300786967,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
12,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202400448194,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
13,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202300274939,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
14,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202101013652,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
15,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202400601030,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
16,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202301140138,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
17,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202400609661,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
18,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202400483948,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
19,PARAÍBA DO SUL,PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL,OUTROS,ADRIANA ARAUJO PORTO,202400659780,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE PARAÍBA DO SUL
